icd_code	label	definition	synonym	grouped_synonym
ICD10CM:G93.2	Benign intracranial hypertension		Benign intracranial hypertension	Benign intracranial hypertension, Pseudotumor
ICD10CM:I31.39				
ICD10CM:M08.90	Juvenile arthritis, unspecified, unspecified site		Juvenile arthritis, unspecified, unspecified site	Juvenile arthritis, unspecified, unspecified site
ICD10CM:F02.80	Dementia in other diseases classified elsewhere without behavioral disturbance		Dementia in other diseases classified elsewhere NOS	Dementia in other diseases classified elsewhere NOS, Dementia in other diseases classified elsewhere without behavioral disturbance, Major neurocognitive disorder in other diseases classified elsewhere
ICD10CM:Q21.0	Ventricular septal defect		Roger's disease	Roger's disease, Ventricular septal defect
ICD10CM:J30.2	Other seasonal allergic rhinitis		Other seasonal allergic rhinitis	Other seasonal allergic rhinitis
ICD10CM:E78.2	Mixed hyperlipidemia		Broad- or floating-betalipoproteinemia	Broad- or floating-betalipoproteinemia, Combined hyperlipidemia NOS, Elevated cholesterol with elevated triglycerides NEC, Fredrickson's hyperlipoproteinemia, type IIb or III, Hyperbetalipoproteinemia with prebetalipoproteinemia, Hypercholesteremia with endogenous hyperglyceridemia, Hyperlipidemia, group C, Mixed hyperlipidemia, Tubo-eruptive xanthoma, Xanthoma tuberosum
ICD10CM:G47.00	Insomnia, unspecified		Insomnia NOS	Insomnia NOS, Insomnia, unspecified
ICD10CM:Z87.898	Personal history of other specified conditions		Personal history of other specified conditions	Personal history of other specified conditions
ICD10CM:E03.9	Hypothyroidism, unspecified		Hypothyroidism, unspecified	Hypothyroidism, unspecified, Myxedema NOS
ICD10CM:H61.23	Impacted cerumen, bilateral		Impacted cerumen, bilateral	Impacted cerumen, bilateral
ICD10CM:R53.83	Other fatigue		Fatigue NOS	Fatigue NOS, Lack of energy, Lethargy, Other fatigue, Tiredness
ICD10CM:H69.80	Other specified disorders of Eustachian tube, unspecified ear		Other specified disorders of Eustachian tube, unspecified ear	Other specified disorders of Eustachian tube, unspecified ear
ICD10CM:H61.20	Impacted cerumen, unspecified ear		Impacted cerumen, unspecified ear	Impacted cerumen, unspecified ear
ICD10CM:R41.89	Other symptoms and signs involving cognitive functions and awareness		Anosognosia	Anosognosia, Other symptoms and signs involving cognitive functions and awareness
ICD10CM:R62.0	Delayed milestone in childhood		Delayed attainment of expected physiological developmental stage	Delayed attainment of expected physiological developmental stage, Delayed milestone in childhood, Late talker, Late walker
ICD10CM:S22.081D	Stable burst fracture of T11-T12 vertebra, subsequent encounter for fracture with routine healing		Stable burst fracture of T11-T12 vertebra, subsequent encounter for fracture with routine healing	Stable burst fracture of T11-T12 vertebra, subsequent encounter for fracture with routine healing
ICD10CM:F84.0	Autistic disorder		Autism spectrum disorder	Autism spectrum disorder, Autistic disorder, Infantile autism, Infantile psychosis, Kanner's syndrome
ICD10CM:Q90.9	Down syndrome, unspecified		Down syndrome, unspecified	Down syndrome, unspecified, Trisomy 21 NOS
ICD10CM:Z95.0	Presence of cardiac pacemaker		Presence of cardiac pacemaker	Presence of cardiac pacemaker, Presence of cardiac resynchronization therapy (CRT-P) pacemaker
ICD10CM:G30.9	Alzheimer's disease, unspecified		Alzheimer's disease, unspecified	Alzheimer's disease, unspecified
ICD10CM:Q92.9	Trisomy and partial trisomy of autosomes, unspecified		Trisomy and partial trisomy of autosomes, unspecified	Trisomy and partial trisomy of autosomes, unspecified
